"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q81246","","","","","Sevier Lake","Sevier Lake","Lago Sevier","lac Sevier","","","","","lago Sevier","","","Sevier Lake","","","Севир","","","","塞维尔湖"
"Q76122","","","سالار دو أويوني","","Salar de Uyuni","Salar de Uyuni","Salar de Uyuni","Salar d'Uyuni","Σαλάρ Ντε Ουγιούνι","सालार दे उयुनी","Salar de Uyuni","Salar de Uyuni","Salar de Uyuni","ウユニ","살라르 데 우유니","Salar de Uyuni","Salar de Uyuni","Salar de Uyuni","Солончак Уюни","Salar de Uyuni","Salar de Uyuni Gölü","Salar de Uyuni","烏尤尼鹽沼"
"Q272514","","","صحراء كوير","মধ্য ইরানের মরুপ্রায় ভূমি","Wüsten Afghanistans und des Iran","Dasht-e Kavir","Desierto de Kavir","Dasht-e Kavir","","","Dast-e Kavír","Dasht-e Kavir","Dasht-e Kavir","カヴィール砂漠","카비르 사막","Grote Zoutwoestijn","Wielka Pustynia Słona","Dasht-e Kavir","Деште-Кевир","Dasht-e Kavir","Kebir Çölü","","卡维尔盐漠"
"Q280231","","","","","Etosha-Pfanne","Etosha pan","","pan d'Etosha","","","","","Praterie alofile dell'Etosha Pan","エトーシャ塩湖","","","Etosza","","Этоша","","","","埃托沙鹽湖"
"Q295272","","","","","Namaksee","Namak Lake","Lago Namak","lac Namak","","","","","","ナマク湖","","","Darjacze-je Namak","","Дерьячейе-Немек","Daryā-ye Namak","","","納馬克湖"
"Q1142015","","","","","Salar de Atacama","Salar de Atacama","Salar de Atacama","Salar d'Atacama","","","","","Salar de Atacama","アタカマ塩原","","Salar de Atacama","Salar de Atacama","Salar de Atacama","Салар-де-Атакама","Salar de Atacama","Salar de Atacama","","阿塔卡馬鹽沼"
"Q1548386","","","صحراء سولت لايك","","Große Salzwüste","Great Salt Lake Desert","Gran desierto del Lago Salado","","","","","","Deserto del Gran Lago Salato","グレートソルトレイク砂漠","","Great Salt Lake Desert","Wielka Pustynia Słona","Deserto do Grande Lago Salgado","Пустыня Большого Солёного Озера","","","","大鹽湖沙漠"
"Q533041","","","حوض ماغاديكغادي","","Makgadikgadi-Salzpfannen","Makgadikgadi Pan","Salares de Makgadikgadi","Pan de Makgadikgadi","","","","","","マカディカディ塩湖","","Makgadikgadizoutvlaktes","","","Макгадикгади","Makgadikgadislätten","","","馬卡迪卡迪鹽沼"
"Q319412","","","بحيرة لوب نور","","Lop Nor","Lop Nur","Lop Nor","Lob Nor","","लोप नुर","Lop-nór","Lop Nur","Lop Nur","ロプノール","","Lob Nuur","Lob-nor","Lop Nor","Лобнор","Lop Nor","","Lop Nur","罗布泊"
"Q195389","","","","","","Hamun-e Jaz Murian","","","","","","","","","","","Hamun-e Dżazmurijan","","Джаз-Муриан","","","",""
"Q5046961","","","","","","Carson Sink","","","","","","","Carson Sink","カーソンシンク","","","","","","","","",""
"Q1860815","","","","","Salar de Coipasa","","Salar de Coipasa","Salar de Coipasa","","","","","","","","Salar de Coipasa","","","Солончак Койпаса","Coipasa","","",""
"Q3469637","","","","","","Salar de Arizaro","Salar de Arizaro","Salar d'Arizaro","","","","","","アリサロ塩原","","Salar de Arizaro","Salar de Arizaro","","","Salar de Arizaro","","",""
"Q4026866","","","","কচ্ছের রান","","Rann of Kutch","","Rann de Kutch","","","","","","カッチ湿地","","","","","Качский Ранн","Rann of Kutch","","",""
